ROUTE,AVERAGE_CO2_PER_PERSON_TONNES,AVERAGE_CO2_PER_PERSON_KG,AVERAGE_CO2_TONNES,FLIGHT_COUNT
KET-MDL,0.02630239468336354,26.302394683363538,1.5699999999999998,5
BJW-LBJ,0.026285714285714287,26.28571428571429,1.564,1
BSA-GGR,0.026270588235294122,26.27058823529412,1.1165,4
BOM-JLG,0.026260504201680673,26.26050420168067,1.5625,2
CDP-MAA,0.026251885369532428,26.251885369532427,1.7405,2
MCZ-REC,0.02622745098039216,26.22745098039216,1.5605333333333333,15
CXB-DAC,0.026216142870784928,26.216142870784928,1.6158709677419354,62
BGA-CUC,0.026198517053880384,26.198517053880384,1.55,20
MLE-TMF,0.02619747899159664,26.19747899159664,1.0885,4
BGI-FDF,0.02619377162629758,26.193771626297583,1.514,1
PPT-TIH,0.02618487394957983,26.184873949579828,1.5579999999999998,3
CGY-DVO,0.026146304675716443,26.146304675716443,1.7334999999999998,2
KOJ-KUM,0.026141500350140047,26.141500350140046,1.1389375,16
OKA-RNJ,0.02612745098039216,26.127450980392158,1.066,1
OSL-RRS,0.02612531969309463,26.12531969309463,1.0215,6
EDL-WIL,0.02611764705882353,26.11764705882353,1.1099999999999999,2
OKA-UEO,0.02610338680926916,26.10338680926916,3.661,3
BSR-KWI,0.026102941176470593,26.102941176470594,3.7275,2
RZR-THR,0.026063025210084037,26.06302521008404,1.50275,4
PAT-VNS,0.02603318250377074,26.03318250377074,1.726,1
BHD-EDI,0.026024955436720152,26.024955436720152,1.5927272727272728,22
AZR-INZ,0.026007130124777185,26.007130124777184,1.459,1
LSH-THL,0.026003460207612458,26.00346020761246,1.503,1
SOF-VAR,0.026000060603557806,26.000060603557806,3.136,26
AXM-MDE,0.025998678904185793,25.998678904185795,4.104,8
DED-KUU,0.025983193277310926,25.983193277310924,1.546,2
CYX-SEK,0.025976470588235295,25.976470588235294,1.104,1
RZH-VVO,0.025975232198142417,25.975232198142418,0.4195,2
COV-ECN,0.02597352740379306,25.97352740379306,4.133625,16
GAU-HGI,0.025972222222222223,25.97222222222222,1.5895000000000001,2
GOV-GTE,0.02596078431372549,25.96078431372549,0.662,1
LXS-SKG,0.02595588235294118,25.95588235294118,1.5885,2
HKR-WIL,0.025955756661639018,25.95575666163902,0.3562,10
CNN-COK,0.02594268476621418,25.942684766214178,1.72,1
ACK-EWB,0.025925925925925932,25.92592592592593,0.19833333333333333,3
OTI-TTE,0.025924369747899162,25.924369747899163,1.5425,2
FBM-LUN,0.02590909090909091,25.90909090909091,2.907,1
LZN-TSA,0.02589915966386555,25.89915966386555,1.5410000000000001,12
ISG-MMY,0.02588944011339476,25.88944011339476,3.653,2
CTA-MLA,0.02588012396159817,25.88012396159817,4.121133333333334,15
CEB-MBT,0.025852187028657617,25.852187028657617,1.714,2
RAI-SID,0.025806996139497308,25.806996139497308,2.1603846153846153,13
CEB-OZC,0.025798570391769932,25.798570391769932,2.2746,10
KTM-VNS,0.025772058823529415,25.772058823529417,1.3445,2
IOS-SSA,0.025747899159663867,25.747899159663866,1.532,1
KDO-MLE,0.025724853151963132,25.72485315196313,0.9988461538461538,13
MFK-TSA,0.02569747899159664,25.69747899159664,1.529,4
DED-DEL,0.025691814208787873,25.69181420878787,2.9635416666666665,24
BHP-KTM,0.025665634674922604,25.665634674922604,0.4145,2
BET-CYF,0.02565359477124183,25.653594771241828,0.19624999999999998,4
KEI-MKQ,0.025588235294117644,25.588235294117645,0.174,1
CMB-WRZ,0.025588235294117644,25.588235294117645,0.174,2
BTC-CMB,0.025588235294117644,25.588235294117645,0.174,1
BME-DRB,0.02556561085972851,25.56561085972851,0.2825,4
BBL-MOO,0.025558823529411762,25.55882352941176,2.1725,4
