ROUTE,AVERAGE_CO2_TONNES,FLIGHT_COUNT
MAD-SAL,220.919,1
KJA-MUC,220.85533333333333,3
LHR-TPE,220.84550000000002,2
DFW-PVG,220.76,4
SCL-SYD,220.7585,6
FRA-IAD,220.73195454545456,22
EWR-GRU,220.589,4
MXP-TPE,219.99450000000002,2
BOG-ZRH,219.799,1
BKK-VIE,219.4738125,16
AUH-BOS,219.4495,2
IAH-IST,219.44506666666666,15
DOH-MNL,219.36464285714285,14
DTW-IST,219.354,2
HKT-ZRH,219.28733333333335,6
FRA-SJO,219.091,2
BCN-LIM,219.003,1
BRU-MRU,219.003,2
KIN-LGW,218.8735,6
AUH-MEL,218.857,24
MEX-NRT,218.75036363636363,11
CAI-JFK,218.40025,4
DXB-NCE,218.37400000000002,4
CAN-IST,218.1625,4
ADD-ATL,218.06,1
SZX-VIE,217.652,2
CDG-GRU,217.64570588235296,17
AUH-EHU,217.59449999999998,4
ATL-LOS,217.5095,2
MAD-MVD,217.444875,8
CRK-DXB,217.073,1
BHX-DXB,216.76825000000002,8
FCO-TFU,216.6645,4
DWC-PEK,216.3025,2
DTW-PVG,216.177,4
CAI-NRT,216.1615,2
MLE-SVO,216.066,4
CDG-SFO,216.05925,16
ALA-AMS,216.0455,2
HKT-OSL,215.91,1
BOG-IST,215.909,2
CDG-CGO,215.88399999999996,5
LIS-NLU,215.777,1
SHJ-SIN,215.7115,4
DME-HKT,215.6125,2
CDG-EZE,214.8495,4
ADD-TFU,214.44849999999997,2
DXB-MAD,214.35125000000002,12
BKK-TLV,214.268,15
HND-SFO,214.25175000000002,16
AMS-EZE,214.25166666666667,3
ICN-MAD,214.1305,6
AUH-CAN,214.06400000000002,2
IST-PVG,213.97475,4
MRU-ORY,213.9315,2
CPT-FRA,213.725375,8
BEG-JFK,213.72400000000002,4
LAX-XMN,213.72,2
AMS-ZNZ,213.709,2
SJO-ZRH,213.638375,8
LGW-PVG,213.63166666666666,6
LHR-XIY,213.455,1
CDG-MNL,213.36849999999998,4
CPT-ZRH,213.2345,8
CKG-LHR,213.13600000000002,4
ADD-IAD,213.07366666666667,3
CMB-SVO,212.921,2
AMS-TPE,212.7563,10
CDG-SCL,212.60750000000002,4
SYD-TNA,212.5825,4
HKT-LED,212.5645,4
PEK-SVO,212.49008333333333,12
GOT-HKT,212.25666666666666,3
ICN-SFO,212.03889655172412,29
AUH-HKG,211.9552857142857,7
AMS-KJA,211.8635,4
LJU-MXP,211.768,1
ANC-NRT,211.301625,8
CDG-HAV,211.22583333333333,6
LUX-MCT,211.204,1
LAX-MAD,211.20341666666664,12
ANC-ATL,211.171,4
HND-IAH,211.014,4
AMS-PBM,210.9825,4
CDG-MRU,210.96233333333333,18
CDG-LAX,210.90416666666667,36
DFW-HND,210.8355,10
CDG-DXB,210.34887096774196,31
DFW-LHR,210.29888888888888,54
IST-KUL,210.27312500000002,8
AKL-SIN,210.2726818181818,44
HKG-JED,210.21,2
AMS-SHJ,210.009,3
IST-PTY,209.92366666666666,6
JFK-NBO,209.816,8
PMV-WAW,209.80349999999999,2
CAI-PEK,209.55975,4
DOH-DPS,209.537,50
FRA-NRT,209.39833333333334,9
GVA-MRU,209.3895,2
CBB-MAD,209.335,2
DXB-MXP,209.32500000000002,11
DXB-ICN,209.27525,12
BNE-HKG,209.20409523809525,21
MEL-PKX,209.179,2
AKL-PEK,209.143,4
MAD-SZX,209.1245,2
CAN-KWI,209.051,2
KTW-VRA,209.0245,2
IAD-IST,208.9199090909091,22
JED-YYZ,208.8175,2
BLR-SYD,208.8155,2
DXB-EDI,208.735,4
SYD-TAO,208.7115,4
BOS-FRA,208.6835,10
BEG-CAN,208.63075,4
EZE-MAD,208.5788,50
BKK-DXB,208.5578846153846,26
AKL-YVR,208.50216666666665,6
DXB-HGH,208.4235,2
GUA-MAD,208.347,3
IST-PEK,208.04525,8
MIA-ZRH,208.01024999999998,8
LGW-SIN,207.908,7
LHR-YVR,207.90774074074073,27
PEK-YYZ,207.8456666666667,3
ADD-ORD,207.812,1
DWC-MAD,207.605,1
FCO-SZX,207.52749999999997,2
DFW-MAD,207.51083333333335,18
FRA-MRU,207.452,12
CDG-FDF,207.222,4
DOH-ICN,207.21807142857142,14
JFK-KBP,207.16899999999998,2
IAH-LHR,206.9749090909091,44
DOH-HKG,206.86127906976745,43
MNL-RUH,206.8595,4
AMS-SFO,206.764625,8
BCN-DXB,206.76254545454546,11
GRU-IST,206.67392307692307,13
FRA-LAS,206.63700000000003,12
MAN-SIN,206.57228571428573,7
CDG-PEK,206.4846,10
CAN-FCO,206.363,4
HKT-TLV,206.23725000000002,4
BOS-NRT,206.20185714285714,7
KTW-PMV,206.061,2
DTW-ICN,205.9375,4
MUC-SFO,205.78813333333335,15
OST-SHJ,205.74,1
CPH-MMX,205.68766666666667,3
AKL-SCL,205.64,1
PKX-SYD,205.59249999999997,2
FCO-HND,205.5555,4
IST-PQC,205.553,1
ICN-MEX,205.247,1
HKG-MAD,204.994,4
IST-NRT,204.97600000000003,5
MIA-TLV,204.94400000000002,8
MIA-VCP,204.8116,5
MRU-ZRH,204.65650000000002,6
DUR-DXB,204.569,4
FRA-IAH,204.56416666666667,12
CGO-JUB,204.56,2
CDG-PTP,204.55200000000002,4
LRM-OTP,204.502,2
BTS-PQC,204.313,1
ADL-DOH,204.0095,18
EBB-LGG,203.988,1
ADD-WUH,203.8,2
MAD-WNZ,203.5915,2
MUC-YYZ,203.538,12
FLL-TLV,203.5255,6
LAX-NRT,203.44359375,32
GIG-LHR,203.18866666666668,3
FCO-TPE,203.1645,4
LHR-TAO,203.0985,4
CAN-DWC,202.9932,5
DWC-LHR,202.987,2
MXP-XIY,202.885,2
